"","Male:","Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over","Female:","Under 5 years.1","5 to 9 years.1","10 to 14 years.1","15 to 17 years.1","18 and 19 years.1","20 years.1","21 years.1","22 to 24 years.1","25 to 29 years.1","30 to 34 years.1","35 to 39 years.1","40 to 44 years.1","45 to 49 years.1","50 to 54 years.1","55 to 59 years.1","60 and 61 years.1","62 to 64 years.1","65 and 66 years.1","67 to 69 years.1","70 to 74 years.1","75 to 79 years.1","80 to 84 years.1","85 years and over.1","65_both"
"02116","0.45920219595342449","1.345906937618984E-2","1.159959268605835E-2","8.5004648691725335E-3","8.8546509053880548E-3","2.9884446805684681E-2","1.009430203214238E-2","9.3859299597113376E-3","1.6868109974764241E-2","5.4766015849825121E-2","6.5170230663656084E-2","4.0997033691946697E-2","1.7222296010979771E-2","3.2717935095408858E-2","2.054279010050029E-2","3.2363749059193342E-2","1.438880772125559E-2","1.124540664984283E-2","6.7738079426218623E-3","9.7401159959268607E-3","2.182671448178156E-2","1.120113339531589E-2","6.7295346880949219E-3","4.8700579979634303E-3","0.54079780404657551","2.4128923717182449E-2","5.2685172887058929E-3","1.0714127595519551E-2","1.9480231991853721E-3","4.4051888254305567E-2","2.7095231770487449E-2","1.8860406428476559E-2","2.5324301589409841E-2","7.3803515296409439E-2","6.8889184043919069E-2","2.7670784079337669E-2","2.5412848098463722E-2","1.8417673883207159E-2","2.133970868198521E-2","3.0637092132642669E-2","1.5274272811794399E-2","1.713374950192589E-2","7.1279939788373844E-3","1.5495639084429099E-2","2.3154912117589761E-2","1.182095895869305E-2","1.7222296010979771E-2","1.0005755523088499E-2","0.14596892017532209"
"02118","0.49700555595641821","1.7678043148856341E-2","1.417851215816437E-2","1.302402770762681E-2","1.237463020419944E-2","4.6900930803088249E-3","5.1951800274190061E-3","5.772422252687784E-3","2.1863049282054979E-2","5.592034057291291E-2","7.1036871347139041E-2","4.8127570531784403E-2","1.937369218558338E-2","3.553647449310917E-2","4.3076701060682593E-2","3.3624359621906352E-2","1.677610217187387E-2","1.5910238833970709E-2","1.493614257882964E-2","1.1833465618009961E-2","1.8507828847680211E-2","7.0712172595425353E-3","3.7881521033263578E-3","6.7104408687495487E-3","0.50299444404358173","1.699256800634966E-2","1.504437549606754E-2","1.6559636337398081E-2","1.093152464102749E-2","6.8186737859874452E-3","5.1951800274190061E-3","1.1616999783534169E-2","2.4893570964716071E-2","6.9305144671332711E-2","6.9521610505808504E-2","2.8573490150804529E-2","3.0557760300165961E-2","2.0780720109676021E-2","3.2722418644923867E-2","4.4231185511220149E-2","1.277148423407172E-2","1.540515188686052E-2","6.061043365322173E-3","8.7668662962695713E-3","1.8688217043076698E-2","1.443105563171946E-2","8.55040046179378E-3","1.457536618803666E-2","0.13392019626235657"
"02119","0.46914190836188929","2.317447981064754E-2","3.4903027519694783E-2","2.448157699508955E-2","1.342424135372876E-2","1.914720740452892E-2","5.1577348359063127E-3","1.466068463630904E-2","3.2677429611050267E-2","4.104991698166531E-2","3.3984526795492277E-2","2.9851273536581058E-2","3.2571448758257668E-2","2.6954463560250119E-2","2.8402868548415589E-2","2.1620093969689471E-2","9.1850072420249403E-3","1.86526300914968E-2","1.112798954322252E-2","1.2117144169286749E-2","1.2823683187904051E-2","7.8425831066520641E-3","7.595294450136009E-3","7.7366022538594686E-3","0.53085809163811071","2.9215388419825489E-2","2.0878228000141309E-2","3.4797046666902177E-2","2.3916345780195709E-2","9.8208923587805134E-3","8.4784682234076373E-3","6.8887554315187052E-3","2.2821210301338889E-2","5.0340905076482853E-2","5.4438831384463197E-2","2.5046808209983399E-2","3.363125728618363E-2","3.1511640230331719E-2","3.6422086409721978E-2","2.2891864203200621E-2","1.8899918748012862E-2","1.8723283993358531E-2","8.5137951743385031E-3","1.519058890027202E-2","1.8405341434980751E-2","1.7168898152400469E-2","1.1763874659978101E-2","1.109266259229166E-2","0.14137845762532236"
"02120","0.48514785837422092","1.153693144145339E-2","2.2410820846041641E-2","8.8184590903063256E-3","1.233258188569155E-2","4.3628166025726028E-2","3.8124917119745388E-2","6.8094417186049597E-2","9.2295451531627104E-2","6.3121601909561065E-2","1.6111921495822839E-2","1.425540379260045E-2","1.1338018830393849E-2","1.5979313088449808E-2","1.6310834106882381E-2","1.524996684789816E-2","4.8402068691155023E-3","1.054236838615568E-2","1.193475666357247E-3","6.6304203686513722E-4","9.9456305529770587E-3","3.713035406444768E-3","2.4532555364010079E-3","2.188038721654953E-3","0.51485214162577908","1.0210847367723109E-2","1.113910621933431E-2","1.3194536533616231E-2","7.6249834239490782E-3","6.882376342660125E-2","4.3760774433099059E-2","3.3682535472748971E-2","6.2193343057949872E-2","7.3663970295716752E-2","1.9824956902267599E-2","1.650974671794192E-2","1.1934756663572471E-2","1.2001060867258981E-2","2.957167484418512E-2","2.3272775493966322E-2","1.20673650709455E-2","1.5183662644211639E-2","8.2217212571277024E-3","1.16032356451399E-2","1.471953321840605E-2","7.5586792202625647E-3","4.5749900543694466E-3","3.514122795385227E-3","7.0348760111391059E-2"
"02121","0.46232601713062099","2.9610546038543899E-2","3.4997323340471093E-2","3.8309689507494638E-2","2.168094218415418E-2","1.097430406852248E-2","8.2976445396145612E-3","1.0873929336188441E-2","2.2216274089935761E-2","4.5335920770877947E-2","4.5202087794432549E-2","2.398956102783726E-2","2.4491434689507499E-2","1.6193790149892931E-2","2.937633832976445E-2","2.4089935760171311E-2","6.1563169164882223E-3","1.7532119914346899E-2","8.8329764453961464E-3","1.027168094218415E-2","1.716407922912206E-2","4.4164882226980732E-3","7.1600642398286941E-3","5.1525695931477506E-3","0.53767398286937906","2.506022483940043E-2","3.4127408993576018E-2","4.1990096359743039E-2","2.5093683083511779E-2","7.2269807280513918E-3","4.6172376873661672E-3","7.7957708779443254E-3","2.9108672376873659E-2","4.7811830835117773E-2","4.1856263383297641E-2","3.8543897216274089E-2","3.3056745182012848E-2","2.8272216274089931E-2","3.1417291220556753E-2","4.7209582441113493E-2","1.254684154175589E-2","1.652837259100642E-2","6.8923982869379006E-3","1.810091006423983E-2","1.9405781584582438E-2","1.1007762312633829E-2","4.9183618843683082E-3","5.0856531049250538E-3","0.11840872591006422"
"02122","0.49345180443845538","2.60664504990104E-2","2.345559439087043E-2","3.3941129405819677E-2","1.9370867899103049E-2","1.187518423379795E-2","4.4637217332715714E-3","3.832062997431255E-3","2.1518507600960121E-2","4.4721438497494423E-2","3.6973091337853203E-2","5.7859940202973012E-2","3.0445951067503259E-2","3.145660504484777E-2","4.0889375500063163E-2","3.0867056891396811E-2","5.9797026992883312E-3","1.3938602770876321E-2","7.4535730829157366E-3","1.524403082494631E-2","1.541247315450373E-2","1.1243525497957639E-2","2.9056301848654569E-3","3.5372889207057729E-3","0.50654819556154462","2.3118709731755591E-2","2.0676295953173031E-2","2.6319113993346532E-2","1.9791973722996591E-2","1.297005937592117E-2","1.141196782751506E-2","6.1060344464563942E-3","1.570724723122921E-2","6.4976628626773905E-2","4.5353097233334742E-2","4.4931991409441187E-2","3.7309975996968038E-2","3.3351581252368721E-2","2.5308460016002021E-2","2.9687960584494879E-2","6.5271402703499393E-3","1.410704510043374E-2","1.6423127131848229E-2","1.89497620752095E-2","1.7475891691582091E-2","6.9482460942434836E-3","3.7057312502631911E-3","5.3901545458373687E-3","0.12468943445487851"
"02124","0.46158373461744251","2.91243088995898E-2","2.9819868022115208E-2","3.2084893882646702E-2","2.7144640627786699E-2","1.4785090065988941E-2","5.1899411449973249E-3","6.7415730337078653E-3","2.084893882646692E-2","3.6971642589620123E-2","4.025325485999643E-2","2.8660602817906191E-2","2.6805778491171751E-2","3.0711610486891389E-2","2.7055466381309078E-2","3.1246655965757091E-2","1.018369894774389E-2","6.7772427322989118E-3","6.9912609238451939E-3","9.9340110576065632E-3","1.4660246120920281E-2","1.6925271981451759E-2","5.4039593365436062E-3","3.263777421080792E-3","0.53841626538255749","3.1478509006598897E-2","2.5949705724986619E-2","3.3672195469948277E-2","2.247191011235955E-2","1.5997859818084541E-2","3.9771713929017301E-3","6.5810593900481537E-3","2.0866773675762441E-2","4.4266095951489212E-2","5.0115926520420913E-2","3.3012306046013913E-2","3.8362760834670953E-2","3.3921883360085607E-2","3.8844301765650083E-2","3.3190654538969147E-2","6.4562154449794903E-3","1.9118958444801139E-2","1.132512930265739E-2","9.8091671125378997E-3","2.1544497948992328E-2","1.663991439272338E-2","1.057606563224541E-2","1.0237203495630461E-2","0.13731050472623507"
"02125","0.46710001839700738","2.9557858588336299E-2","2.7932789599558468E-2","2.7350217697921141E-2","1.4410989145765621E-2","1.5177531121604221E-2","5.611087263138529E-3","6.6535843502790216E-3","2.7718157846323661E-2","5.5926902557184029E-2","4.0596063040412092E-2","3.9706874348439322E-2","2.6307720610780651E-2","2.3762801250996501E-2","2.4682651622002821E-2","2.8423376464095169E-2","9.1065186729625321E-3","1.2080701539216291E-2","1.07622493407739E-2","1.241798000858527E-2","1.484025265223524E-2","5.9177040534739694E-3","5.9177040534739694E-3","2.2383025694487032E-3","0.53289998160299257","1.9960753050837061E-2","1.965413626050163E-2","3.7836511927393138E-2","1.287790519408843E-2","2.0972588458944012E-2","7.1441712148157229E-3","6.929539461580916E-3","2.863800821732998E-2","6.1231373029987123E-2","5.5068375544244798E-2","4.0228122892009568E-2","3.611945790151469E-2","2.8821978291531249E-2","3.2164101306187527E-2","3.6088796222481137E-2","9.1678420310296188E-3","1.723186361685166E-2","8.1253449438891279E-3","1.272459679892071E-2","1.9347519470166191E-2","1.0731587661740359E-2","4.9365303244005643E-3","6.8988777825473727E-3","0.11485864965965539"
"02126","0.46441420303456898","3.4881902080400443E-2","2.432347880494291E-2","3.8088534334428277E-2","2.2720162677928989E-2","1.184889723134679E-2","4.2233693101830123E-3","3.8714218676677622E-3","1.5055529485374629E-2","4.8373220710151731E-2","4.8529641795714062E-2","2.7060847802283749E-2","3.3826059752854687E-2","2.1038636008133899E-2","2.8898795557641171E-2","2.8116690129829501E-2","5.8657907085875177E-3","1.8144845925230722E-2","4.653527295479431E-3","1.4664476771468791E-2","1.071484436101987E-2","1.106679180353512E-2","3.4412638823713431E-3","5.0054747379946821E-3","0.53558579696543096","3.7306428906616611E-2","3.4490849366494603E-2","3.0502111684655091E-2","2.0999530736743311E-2","1.15751603316127E-2","1.6424213984045049E-3","1.955263569529173E-3","1.7480056311590799E-2","5.0250273736899727E-2","2.917253245737525E-2","4.3954325043015802E-2","3.3474112310339442E-2","3.1831690911934933E-2","5.1267010793054901E-2","2.2524636320976069E-2","1.1145002346316281E-2","1.6737056155169721E-2","2.2133583607070229E-2","1.5994055998748629E-2","1.5837634913186301E-2","1.419521351478179E-2","1.399968715782888E-2","7.1171593930861882E-3","0.13882371343657127"
"02127","0.47394090625531682","2.869619463505926E-2","1.704191005501049E-2","1.327057222253729E-2","4.9339306981228378E-3","2.9206601259003E-3","1.729711336698236E-3","1.8998468780128169E-3","2.1550501899846881E-2","0.1035558328134747","7.5738671808540797E-2","5.279872965462485E-2","2.6371008903759999E-2","2.51517041910055E-2","1.7098621902115349E-2","1.6247944195542451E-2","1.3213860375432431E-2","1.6106164577780299E-2","2.75052458458572E-3","6.663642034821074E-3","9.5559462371689451E-3","7.2874723529745356E-3","2.4386094255089892E-3","6.9188453467929449E-3","0.52605909374468329","2.4301026484432602E-2","1.0349912096636989E-2","1.207962343333522E-2","6.748709805478364E-3","5.3592695514092896E-3","1.814779107355526E-3","1.5879317189360859E-3","3.4849430045936602E-2","0.12672262235581011","7.90279589406227E-2","4.8403561503998188E-2","2.1862417058923611E-2","2.6654568139284299E-2","2.6654568139284299E-2","2.7505245845857201E-2","7.7128112062609883E-3","1.137072534452447E-2","6.0398117166676124E-3","1.199455566267793E-2","1.332728406964215E-2","5.3025577043044293E-3","7.5993875120512677E-3","8.7903363012533323E-3","8.8668972948448929E-2"
"02128","0.51968088613437069","2.4175292850706579E-2","2.564778796070416E-2","3.6262939276059863E-2","9.9778026856552609E-3","8.4173974198369274E-3","8.5932177314784284E-3","3.2306982264126058E-3","1.6109536054152659E-2","6.621832487198083E-2","7.2569833630030112E-2","4.303202127425771E-2","3.9955165820531408E-2","3.7032153139491437E-2","3.4878354321883027E-2","3.2219072108305311E-2","1.588976066460078E-2","1.015362299729676E-2","8.3954198808817385E-3","7.2745653941671609E-3","7.0987450825256591E-3","4.5053954858134994E-3","1.6043603437287089E-3","6.4394189138700236E-3","0.48031911386562931","3.4944286938748598E-2","1.8900683501461509E-2","2.2087426649963739E-2","1.5779872969824839E-2","6.7690819981978418E-3","5.120766576558757E-3","5.9559130568558926E-3","2.0483066306235032E-2","6.5053515307355883E-2","6.2723896178105976E-2","3.4768466627107093E-2","3.2944330893826507E-2","3.3383881672930257E-2","2.7977407089954071E-2","2.760378892771587E-2","8.9448583547614337E-3","1.243928704863629E-2","6.1097558295422081E-3","6.3954638359596493E-3","1.006571284147601E-2","9.7360497571481949E-3","3.406518538054109E-3","8.7250829652095567E-3","7.975648886837651E-2"
"02129","0.46969771201802951","3.7332810739307228E-2","3.2776444074273679E-2","2.145901719660967E-2","5.1442849443927297E-3","3.3805301063152219E-3","6.3691146930576654E-4","2.4496594973298712E-3","7.6919308216157958E-3","6.0310616824261427E-2","6.4671010729508593E-2","4.6004605359854983E-2","3.3560335113419243E-2","2.66033021410024E-2","2.4643574543138501E-2","2.199794228602224E-2","1.7147616481309101E-2","1.1072460927931019E-2","7.3979716819362112E-3","1.499191612365881E-2","1.15133996374504E-2","8.4758218607613543E-3","4.9483121846063396E-3","5.4872372740189116E-3","0.53030228798197054","4.5906618979961789E-2","3.2825437264220277E-2","1.9744255548478761E-2","4.654353044926755E-3","5.2912645142325224E-3","6.8590465925236395E-4","1.2738229386115331E-3","1.2983195335848321E-2","5.5019352310028913E-2","7.0305227573367296E-2","5.8105923276664542E-2","3.3168389593846458E-2","2.6309343001322819E-2","2.9395913967958449E-2","3.4589192102297779E-2","8.0348831512419769E-3","1.7196609671255692E-2","1.14644064475038E-2","1.175836558718338E-2","2.532947920239087E-2","7.5939444417226004E-3","9.7496447993728873E-3","8.9167605702807316E-3","0.1276272598108863"
"02130","0.46458454952325362","4.2007199844327693E-2","1.872932477135629E-2","1.7464487254329631E-2","6.9809301420509827E-3","4.0377505351235649E-3","6.810663553220471E-4","2.553998832457677E-3","1.639424012453785E-2","5.5847441136407862E-2","6.9420120646040084E-2","4.4390932087954853E-2","3.7264059155477723E-2","2.2110332749562169E-2","2.634267367192061E-2","2.6610235454368549E-2","1.004572874100019E-2","1.11646234676007E-2","8.8538626191866122E-3","9.2916909904650711E-3","1.2624051371862229E-2","1.019167153142635E-2","2.8702082117143409E-3","8.7079198287604593E-3","0.53541545047674644","2.8848024907569561E-2","2.0748200038918078E-2","1.970227670753065E-2","9.583576571317377E-3","5.9350068106635533E-3","2.505351235648959E-3","4.0620743335279237E-3","2.5296750340533181E-2","7.063631056625802E-2","7.586592722319517E-2","4.6944930920412527E-2","3.6923525977816687E-2","2.1769799571901151E-2","2.3302198871375749E-2","3.1499318933644681E-2","1.408347927612376E-2","2.1210352208600899E-2","9.5106051761042996E-3","1.374294609846274E-2","2.2329246935201399E-2","7.5647013037555954E-3","5.3512356489589406E-3","1.799961081922553E-2","0.12903775053512356"
